"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0T9M0","2020-05-29 00:00:00","92.000","317.000","2.200","23.900","1.000","1004.300","","9.000","-99.000","-99.000","-99.000","27.900","","23.300",""
"C0AI00","2020-05-29 00:00:00","188.000","96.000","1.100","22.400","1.000","992.000","","63.000","-99.000","-99.000","-99.000","23.800","","21.400",""
"C0D590","2020-05-29 00:00:00","143.000","61.000","0.500","22.300","0.990","997.100","","65.500","-99.000","-99.000","-99.000","23.900","","21.300",""
"C0U990","2020-05-29 00:00:00","31.000","226.000","0.600","23.500","0.990","1010.900","","31.000","-99.000","-99.000","-99.000","25.300","","22.400",""
"C0M700","2020-05-29 00:00:00","150.000","80.000","0.700","24.200","1.000","995.400","","13.500","-99.000","-99.000","-99.000","30.800","","24.200",""
"C0A970","2020-05-29 00:00:00","96.000","240.000","0.800","22.000","0.990","1002.900","","100.500","-99.000","-99.000","-99.000","22.200","","20.700",""
"CM0110","2020-05-29 00:00:00","7.000","354.000","1.100","25.400","0.860","1011.300","","-99.000","-99.000","-99.000","-99.000","28.300","","24.600",""
"C0S940","2020-05-29 00:00:00","150.000","3.000","1.100","23.800","1.000","995.600","","1.000","-99.000","-99.000","-99.000","28.900","","23.100",""
"C0X250","2020-05-29 00:00:00","33.000","0.000","0.000","26.500","0.850","1007.900","","19.500","-99.000","-99.000","-99.000","31.500","","25.200",""
"C0K520","2020-05-29 00:00:00","10.000","37.000","0.500","25.700","0.930","1009.800","","48.500","-99.000","-99.000","-99.000","30.400","","24.600",""
"C0Z200","2020-05-29 00:00:00","153.000","204.000","0.800","23.500","0.950","997.300","","12.000","-99.000","-99.000","-99.000","27.200","","22.400",""
"C0V740","2020-05-29 00:00:00","60.000","79.000","0.500","26.100","1.000","1006.100","","12.500","-99.000","-99.000","-99.000","31.900","","25.100",""
"C0V790","2020-05-29 00:00:00","410.000","28.000","1.400","23.600","0.960","965.800","","6.000","-99.000","-99.000","-99.000","30.800","","23.300",""
"C0G860","2020-05-29 00:00:00","45.000","135.000","0.600","26.000","0.000","1005.800","","78.500","-99.000","-99.000","-99.000","31.000","","24.700",""
"C0Z250","2020-05-29 00:00:00","1124.000","0.000","0.000","19.600","0.990","891.300","","25.000","-99.000","-99.000","-99.000","22.800","","19.300",""
"C0K440","2020-05-29 00:00:00","35.000","0.000","0.000","25.400","0.920","1007.900","","66.500","-99.000","-99.000","-99.000","30.000","","24.200",""
"C0T900","2020-05-29 00:00:00","160.000","0.000","0.000","23.200","0.960","994.100","","8.500","-99.000","-99.000","-99.000","27.700","","22.200",""
"C0F9V0","2020-05-29 00:00:00","525.000","189.000","2.100","23.600","0.910","953.800","","38.500","-99.000","-99.000","-99.000","26.400","","23.000",""
"C0UA20","2020-05-29 00:00:00","2619.000","211.000","4.000","10.900","1.000","-99.000","","10.000","-99.000","-99.000","-99.000","14.500","","10.900",""
"C0M850","2020-05-29 00:00:00","695.000","0.000","0.000","21.000","0.990","934.700","","39.500","-99.000","-99.000","-99.000","28.200","","21.000",""
"C0C620","2020-05-29 00:00:00","19.000","183.000","0.600","22.700","0.980","1008.500","","36.500","-99.000","-99.000","-99.000","25.200","","21.800",""
"C0I360","2020-05-29 00:00:00","300.000","103.000","2.100","23.400","0.920","977.600","","79.500","-99.000","-99.000","-99.000","29.400","","22.400",""
"C0M810","2020-05-29 00:00:00","1354.000","147.000","0.700","18.100","0.990","867.100","","102.000","-99.000","-99.000","-99.000","22.900","","18.000",""
"C0AC80","2020-05-29 00:00:00","40.000","32.000","0.400","23.100","0.990","1007.800","","140.000","-99.000","-99.000","-99.000","23.100","","21.700",""
"CM0140","2020-05-29 00:00:00","26.000","64.000","1.300","26.100","0.810","1010.300","","0.000","-99.000","-99.000","-99.000","27.700","","24.700",""
"C0SA20","2020-05-29 00:00:00","857.000","0.000","0.000","21.300","1.000","918.900","","3.500","-99.000","-99.000","-99.000","25.700","","20.400",""
"C0K490","2020-05-29 00:00:00","91.000","96.000","0.800","24.900","0.920","1001.100","","84.000","-99.000","-99.000","-99.000","30.800","","23.700",""
"C0V820","2020-05-29 00:00:00","441.000","177.000","0.600","22.200","0.990","965.300","","44.500","-99.000","-99.000","-99.000","30.700","","22.200",""
"C0S810","2020-05-29 00:00:00","65.000","24.000","0.700","24.600","0.990","1007.900","","4.500","-99.000","-99.000","-99.000","30.900","","23.900",""
"C0R580","2020-05-29 00:00:00","10.000","110.000","1.100","27.000","0.930","1010.700","","42.000","-99.000","-99.000","-99.000","31.200","","24.500",""
"C0Z330","2020-05-29 00:00:00","488.000","340.000","0.900","22.300","0.990","960.900","","1.500","-99.000","-99.000","-99.000","27.400","","21.700",""
"C0E590","2020-05-29 00:00:00","40.000","302.000","0.600","23.500","0.990","1006.500","","32.000","-99.000","-99.000","-99.000","25.600","","22.400",""
"C0O900","2020-05-29 00:00:00","9.000","153.000","1.100","25.700","0.990","1010.700","","4.500","-99.000","-99.000","-99.000","31.800","","25.400",""
"C0AD00","2020-05-29 00:00:00","86.000","191.000","1.200","23.900","0.930","1002.700","","21.500","-99.000","-99.000","-99.000","24.500","","22.300",""
"C0V700","2020-05-29 00:00:00","24.000","129.000","1.300","27.800","0.860","1008.300","","45.500","-99.000","-99.000","-99.000","31.100","","24.700",""
"C0AH00","2020-05-29 00:00:00","38.000","0.000","0.000","22.900","1.000","1008.000","","118.000","-99.000","-99.000","-99.000","23.200","","21.900",""
"C0X080","2020-05-29 00:00:00","2.000","156.000","1.300","26.500","0.930","1011.200","","54.000","-99.000","-99.000","-99.000","31.500","","24.100",""
"C0AC40","2020-05-29 00:00:00","1079.000","211.000","2.000","19.300","0.990","894.300","","44.000","-99.000","-99.000","-99.000","22.000","","17.600",""
"C0S840","2020-05-29 00:00:00","22.000","272.000","0.900","25.700","0.970","1011.900","","0.000","-99.000","-99.000","-99.000","33.100","","24.100",""
"C0G820","2020-05-29 00:00:00","29.000","0.000","0.000","26.200","0.940","1007.900","","21.000","-99.000","-99.000","-99.000","30.600","","25.100",""
"C0R590","2020-05-29 00:00:00","72.000","254.000","0.400","26.600","0.990","1004.000","","18.000","-99.000","-99.000","-99.000","31.600","","24.700",""
"C0A9E0","2020-05-29 00:00:00","26.000","149.000","1.000","23.700","0.910","1009.900","","64.000","-99.000","-99.000","-99.000","23.700","","22.200",""
"C0R480","2020-05-29 00:00:00","57.000","0.000","0.000","25.900","0.960","1004.800","","16.500","-99.000","-99.000","-99.000","32.300","","24.700",""
"C0X300","2020-05-29 00:00:00","70.000","0.000","0.000","24.600","0.970","1003.400","","4.000","-99.000","-99.000","-99.000","31.900","","24.600",""
"C0U970","2020-05-29 00:00:00","7.000","97.000","0.300","23.600","0.990","1013.700","","30.000","-99.000","-99.000","-99.000","24.500","","21.800",""
"C0SA90","2020-05-29 00:00:00","497.000","0.000","0.000","22.900","1.000","956.700","","3.000","-99.000","-99.000","-99.000","28.900","","22.100",""
"C0R750","2020-05-29 00:00:00","551.000","0.000","0.000","22.800","1.000","951.200","","1.000","-99.000","-99.000","-99.000","27.000","","22.300",""
